Name,Years,Price,Unit
agrimony,2024,1.1,1
balm,2025,0.9,1
basil,2027,0.5,1
black comfrey,2024,1.8,1
burdock,2026,1.7,1
bristly oxtongue,2024,2.5,1
camomile,2024,0.5,1
coltsfoot,2026,1.75,1
common polypody,2022,1.6,1
common poppy,2023,1.6,1
dandelion,2025,1.8,1
elderberry,2026,1.9,1
field horsetail,2024,1.7,1
hawthorn,2023,0.7,1
hellebore,2028,1.9,1
hollyhock,2025,1.5,1
hop cones,2023,1.5,1
juniper,2023,1.3,1
Iceland lichen,2022,1.75,1
lavender,2027,1,1
licorice,2024,1.7,1
linden,2025,0.5,1
marigold,2024,1.5,1
milkvetch,2026,1.5,1
mint,2023,0.6,1
mullein,2025,1.3,1
mustard seed,2023,1.2,1
oakmoss,2026,1.6,1
oregano,2025,0.8,1
pine needles,2022,0,1
primrose,2025,2.1,1
raspberry,2022,1.4,1
strawberry,2022,1.5,1
thyme,2025,0.7,1
tutsan,2023,1,1
valerian,2028,0.8,1
white comfrey,2024,1.8,1
yarrow,2027,0.8,1
